"Npop2","Npop3","Npop4","Npop5","Npop6","Npop7","Npop8","Npop9","Npop10"
0.2556,0.1187,0.0411,0.049,0.1016,0.0959,0.0557,0.0519,0.087
0.0525,0.0672,0.1202,0.0484,0.1227,0.1116,0.1041,0.0868,0.087
0.1445,0.1457,0.1292,0.0494,0.1028,0.0819,0.0547,0.0872,0.087
0.1481,0.0311,0.1025,0.1226,0.0482,0.0552,0.1062,0.0872,0.087
0.0774,0.0824,0.0341,0.0482,0.1302,0.0503,0.0998,0.0519,0.087
0.1048,0.1762,0.055,0.0612,0.0518,0.0959,0.0564,0.0932,0.087
0.0774,0.0281,0.0339,0.0536,0.1162,0.0916,0.1042,0.0915,0.087
0.0903,0.0708,0.049,0.0364,0.0506,0.107,0.0564,0.0872,0.087
0.1048,0.0377,0.0584,0.0454,0.0407,0.0358,0.1062,0.0932,0.087
0.243,0.0419,0.1021,0.0467,0.1255,0.0563,0.097,0.0895,0.087
0.243,0.0529,0.0733,0.0384,0.1123,0.0916,0.0474,0.0895,0.087
0.025,0.0615,0.1354,0.1192,0.0568,0.0973,0.0975,0.0958,0.087
0.068,0.0572,0.0461,0.107,0.1132,0.1007,0.0906,0.0895,0.087
0.0666,0.0267,0.0674,0.0494,0.1204,0.0966,0.0913,0.0932,0.087
0.1481,0.1839,0.0584,0.0994,0.1023,0.0468,0.0557,0.0958,0.087
0.0079,0.1567,0.0911,0.0365,0.1052,0.0517,0.094,0.0868,0.087
0.1629,0.0672,0.0733,0.0686,0.053,0.0557,0.097,0.0942,0.087
0.0669,0.0672,0.0435,0.1078,0.1232,0.0937,0.0944,0.0895,0.087
0.0774,0.0639,0.0259,0.1013,0.094,0.0907,0.0913,0.0942,0.087
0.243,0.0358,0.0193,0.101,0.1127,0.0971,0.0808,0.0915,0.087
0.0495,0.157,0.0741,0.0708,0.0952,0.0556,0.0856,0.0952,0.087
0.02,0.0526,0.1015,0.0808,0.1021,0.1024,0.0911,0.0958,0.087
0.0072,0.0572,0.0699,0.0554,0.1177,0.0959,0.097,0.0915,0.087
0.0047,0.0437,0.0926,0.1177,0.0632,0.1015,0.0515,0.0952,0.087
0.1048,0.1147,0.1617,0.046,0.0555,0.0911,0.1053,0.0958,0.087
0.0166,0.0321,0.1206,0.0402,0.1036,0.1017,0.0505,0.0932,0.087
0.0166,0.0438,0.0674,0.1281,0.1037,0.0557,0.097,0.0952,0.087
0.025,0.0605,0.0527,0.133,0.0455,0.0519,0.0505,0.0942,0.087
0.1093,0.0749,0.1506,0.0573,0.123,0.0907,0.0961,0.0915,0.087
0.0134,0.1589,0.0884,0.062,0.0567,0.1066,0.0965,0.0868,0.087
0.0525,0.2111,0.0646,0.0521,0.1181,0.0557,0.0557,0.0868,0.087
0.0495,0.0358,0.0884,0.1328,0.0857,0.1017,0.0856,0.0932,0.087
0.025,0.0717,0.1296,0.0521,0.0474,0.0605,0.1041,0.0915,0.087
0.0212,0.0411,0.1806,0.0482,0.1227,0.0562,0.0828,0.082,0.087
0.0495,0.1147,0.1252,0.0641,0.1148,0.1017,0.0965,0.0932,0.087
0.0571,0.0561,0.0475,0.0569,0.1237,0.102,0.0442,0.0942,0.087
0.0134,0.0824,0.0544,0.0329,0.0506,0.1095,0.0961,0.082,0.087
0.0357,0.0835,0.0646,0.118,0.1104,0.0472,0.0901,0.0958,0.087
0.0623,0.1975,0.0336,0.0532,0.0569,0.1084,0.0944,0.082,0.087
0.077,0.0572,0.1574,0.0555,0.0948,0.1085,0.0856,0.0868,0.087
0.0361,0.0525,0.059,0.0638,0.0474,0.0412,0.1023,0.0868,0.087
0.1481,0.0708,0.0489,0.0526,0.1088,0.0888,0.0504,0.0958,0.087
0.0666,0.0739,0.167,0.0619,0.0613,0.0468,0.096,0.0932,0.087
0.1048,0.0354,0.1441,0.0898,0.0972,0.1144,0.0804,0.0958,0.087
0.1048,0.0336,0.1252,0.0572,0.1278,0.107,0.0906,0.0942,0.087
0.0072,0.0336,0.0646,0.0454,0.1093,0.0442,0.0906,0.082,0.087
0.1629,0.0353,0.0795,0.1329,0.1177,0.0997,0.1023,0.0895,0.087
0.1048,0.1144,0.0733,0.046,0.0874,0.0543,0.0946,0.0958,0.087
0.0245,0.1664,0.0659,0.1288,0.0552,0.0562,0.0952,0.0915,0.087
0.0361,0.0237,0.063,0.1131,0.0325,0.1184,0.094,0.0872,0.087
0.1107,0.0468,0.0692,0.0438,0.094,0.1018,0.0946,0.0868,0.087
0.0862,0.061,0.0373,0.034,0.1011,0.0916,0.094,0.0868,0.087
0.1481,0.105,0.0515,0.1471,0.106,0.0452,0.0909,0.0872,0.087
0.0862,0.0267,0.0926,0.0533,0.0508,0.0508,0.0909,0.0932,0.087
0.0047,0.0525,0.1485,0.0546,0.1132,0.0997,0.0442,0.0872,0.087
0.0623,0.0639,0.0567,0.1202,0.1248,0.1013,0.1023,0.0868,0.087
0.1445,0.0354,0.0584,0.0564,0.0554,0.1093,0.097,0.0915,0.087
0.0361,0.0794,0.1806,0.058,0.1193,0.1066,0.0804,0.082,0.087
0.0361,0.0525,0.1618,0.0585,0.041,0.0557,0.0987,0.082,0.087
0.1274,0.0438,0.1179,0.1103,0.0613,0.1084,0.0997,0.082,0.087
0.0666,0.061,0.053,0.1248,0.0474,0.0907,0.0561,0.0519,0.087
0.0361,0.1975,0.1266,0.1187,0.1117,0.0487,0.1062,0.082,0.087
0.0525,0.1144,0.1505,0.0566,0.0933,0.0888,0.0991,0.0915,0.087
0.0357,0.1144,0.1125,0.1351,0.0927,0.0452,0.0909,0.0915,0.087
0.0856,0.0865,0.0559,0.0456,0.0527,0.1123,0.0991,0.0932,0.087
0.0212,0.0835,0.1324,0.1078,0.1226,0.0971,0.0905,0.0872,0.087
0.0405,0.0529,0.0353,0.1318,0.0513,0.0475,0.0987,0.0519,0.087
0.0677,0.1839,0.0475,0.0409,0.0517,0.0475,0.0828,0.0868,0.087
0.0903,0.0722,0.0634,0.1377,0.0627,0.1064,0.0557,0.0942,0.087
0.0862,0.1762,0.0699,0.0532,0.0519,0.091,0.0975,0.0915,0.087
0.0245,0.061,0.0403,0.1289,0.1132,0.1015,0.1041,0.0932,0.087
0.0357,0.0517,0.0659,0.0634,0.1127,0.0895,0.0997,0.0895,0.087
0.0669,0.0745,0.0448,0.034,0.0682,0.0937,0.097,0.0942,0.087
0.0047,0.0717,0.1179,0.026,0.0403,0.0555,0.096,0.0958,0.087
0.1048,0.0858,0.0438,0.0632,0.0601,0.0503,0.1042,0.0868,0.087
0.0862,0.0397,0.1189,0.0521,0.1144,0.1095,0.1034,0.0868,0.087
0.02,0.1633,0.1213,0.1076,0.0527,0.1071,0.0905,0.0932,0.087
0.0405,0.0517,0.1202,0.1005,0.126,0.1017,0.1041,0.0942,0.087
0.0623,0.0713,0.1338,0.1294,0.1111,0.061,0.0561,0.0868,0.087
0.1107,0.1665,0.0937,0.0402,0.1212,0.0907,0.0965,0.0932,0.087
0.1481,0.061,0.0573,0.0626,0.0948,0.0886,0.0808,0.082,0.087
