"Npop2","Npop3","Npop4","Npop5","Npop6","Npop7","Npop8","Npop9","Npop10"
-0.297,-0.259,-0.2383,-0.3066,-0.2822,-0.3241,-0.2588,-0.2651,-0.275
-0.2138,-0.2449,-0.292,-0.2963,-0.2769,-0.2968,-0.2933,-0.2701,-0.275
-0.2889,-0.2449,-0.3253,-0.276,-0.2646,-0.2421,-0.2586,-0.2956,-0.275
-0.3983,-0.3225,-0.3281,-0.2609,-0.2491,-0.2543,-0.2622,-0.2701,-0.275
-0.2409,-0.2326,-0.2787,-0.2222,-0.2751,-0.2794,-0.2488,-0.271,-0.275
-0.3346,-0.2512,-0.2956,-0.2982,-0.2326,-0.2904,-0.2511,-0.2753,-0.275
-0.3214,-0.3736,-0.2151,-0.2077,-0.2472,-0.2974,-0.2837,-0.2829,-0.275
-0.3657,-0.2431,-0.2944,-0.2764,-0.2656,-0.2481,-0.2721,-0.271,-0.275
-0.3653,-0.3046,-0.2277,-0.2441,-0.3021,-0.2542,-0.2937,-0.2753,-0.275
-0.2418,-0.1591,-0.2357,-0.2525,-0.3332,-0.2454,-0.2781,-0.2829,-0.275
-0.3163,-0.3176,-0.2626,-0.339,-0.2302,-0.2541,-0.2861,-0.2705,-0.275
-0.3163,-0.2467,-0.3538,-0.2643,-0.2935,-0.2968,-0.2721,-0.2753,-0.275
-0.2638,-0.3442,-0.3596,-0.2473,-0.2838,-0.2799,-0.2861,-0.2701,-0.275
-0.3452,-0.2644,-0.2179,-0.3098,-0.2642,-0.2484,-0.2641,-0.271,-0.275
-0.2422,-0.2319,-0.2524,-0.2973,-0.2929,-0.2899,-0.2617,-0.2651,-0.275
-0.2159,-0.2862,-0.2774,-0.322,-0.291,-0.2968,-0.2928,-0.2651,-0.275
-0.3346,-0.2326,-0.2524,-0.2956,-0.221,-0.2551,-0.2511,-0.2705,-0.275
-0.2638,-0.3529,-0.2514,-0.322,-0.3356,-0.2957,-0.2697,-0.271,-0.275
-0.1726,-0.2884,-0.3096,-0.2601,-0.2928,-0.2959,-0.2846,-0.2634,-0.275
