"Npop2","Npop3","Npop4","Npop5","Npop6","Npop7","Npop8","Npop9","Npop10","Npop11","Npop12"
0.0313,-0.0436,-0.0131,-0.0251,0.0118,0.0077,0.0072,-0.0141,3e-04,9e-04,-0.001
-0.0566,-0.0242,0.0041,0.0186,0.0115,0.0053,-0.0015,0,-0.001,3e-04,-0.001
0.0174,-0.0126,-0.013,-0.0276,0.0018,0.0054,0.0064,-0.0095,-0.0065,0.0021,-0.001
-0.0014,0.0358,0.0035,-0.0101,0.0048,-0.0051,-0.011,0.003,-0.0072,0.0013,-0.001
-0.0189,0.0167,-0.0066,0.0125,0.0206,-0.0014,0.0149,-0.0164,0.0035,3e-04,-0.001
-0.0234,-0.0363,0.0335,0.0266,-0.0147,0.0102,-7e-04,-0.0065,0.0011,-0.002,-0.001
-0.0088,0.0107,-0.0139,0.0038,0.0048,0.0044,-0.0029,0,-0.0076,0.0062,-0.001
0.0594,-0.0316,-0.0054,-0.0131,0.0062,-0.0031,0.0014,-0.0054,0.0034,-1e-04,-0.001
-0.0055,0.0278,-0.0288,8e-04,-0.0253,-0.0099,-0.0118,-0.0078,-0.0072,9e-04,-0.001
-0.0129,-0.0061,-0.005,0.0125,-0.0213,0.0133,-0.0031,6e-04,1e-04,0.0062,-0.001
-0.0129,-8e-04,-0.0096,-0.014,0.0016,-0.0052,0.0022,-0.0088,0.0038,0.0013,-0.001
0.0594,-0.0147,-0.0215,-0.0244,0.0087,0.005,0.0031,-0.0062,0.0038,0,-0.001
-0.0172,0.0052,0.0021,-0.0013,-0.0037,-0.0074,0.0022,0.004,-0.0068,-0.002,-0.001
-0.016,0.0313,-0.0188,-0.0101,0.0047,-0.004,-0.0063,0.0051,5e-04,-0.008,-0.001
0.0133,0.0139,0.0117,0.0082,-0.0042,-9e-04,0.008,0.006,0.0045,-0.008,-0.001
-0.016,-0.0443,-0.0046,0.0214,0.0052,-0.0018,0.0027,0.0016,-0.0036,-0.0057,-0.001
-0.0507,-0.0125,0.0092,-0.0174,1e-04,0.0034,-0.011,0.008,0.0037,0.0062,-0.001
0.0301,-0.0181,-0.0066,0.0114,-0.0261,0.0102,0.0098,0.0038,0.0081,-0.0057,-0.001
-0.0193,-0.0181,0.0055,-0.0118,4e-04,0.0071,0.0032,2e-04,0.0037,-1e-04,-0.001
-0.0211,-0.0154,0.0092,-0.0222,0.0035,-3e-04,-0.0089,0.0082,-6e-04,0.0021,-0.001
-0.0566,-0.0164,0.0119,-6e-04,0.0182,0.0039,-0.0066,-0.0037,3e-04,3e-04,-0.001
