"Npop2","Npop3","Npop4","Npop5","Npop6","Npop7","Npop8","Npop9","Npop10","Npop11","Npop12"
-0.0065,0.0013,0.006,0.0063,0.0071,0.0032,0.0048,0.0016,0.0025,0.0037,0.0037
0.0048,0.0094,0.0057,0.0034,0.0033,0.0058,0.0025,0.0058,0.0024,0.0039,0.0037
0,0.0128,-0.0017,0.0069,0.0051,0.0054,0.0025,0.0039,0.0038,0.0041,0.0037
0,6e-04,0.0062,0.003,0.0056,0.0043,-1e-04,0.0058,0.0042,0.0037,0.0037
-0.0038,0.0067,-2e-04,0.0098,0.0018,0.0062,0.0033,0.005,0.0029,0.0041,0.0037
0.0068,0.0062,0.005,0.0024,-0.0025,0.0028,0.0023,0.0028,0.0031,0.0039,0.0037
0.0139,-4e-04,-0.0027,0.0025,0.0027,0.0058,0.0041,0.0036,0.0038,0.0031,0.0037
-0.0073,-0.0047,0.0053,0.001,0.004,0.0048,0.0036,0.0027,0.0038,0.0039,0.0037
-0.0103,0.0048,-0.0031,0.0024,0.0055,0.0049,0.0035,0.0045,0.0039,0.0037,0.0037
0.0091,0.0021,-5e-04,0.006,-0.0016,7e-04,0.0016,0.0032,0.0032,0.0039,0.0037
-0.0027,0.0082,0.0063,0.005,0.001,-3e-04,0.0035,0.0056,0.0038,0.0039,0.0037
0,0.0077,0.0038,0.003,0.0044,0.0022,0.003,0.0023,0.0025,0.0033,0.0037
-7e-04,0.0116,0.0043,-0.0011,0.0023,0.0049,0.0025,0.0018,0.0045,0.0031,0.0037
-0.0018,0.0035,-9e-04,0.0077,0.0013,0.0026,0.004,0.0024,0.0039,0.0033,0.0037
